dataset,model_uid,run_id,compression_family,compression_profile,search_mode,threshold_policy,target_fpir,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_32,pca_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,738,1688,0.437203791469,0.413709301873,0.460983448506,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.434241706161,0.410545023697,0.458530805687,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,32,1688,0.0189573459716,0.0134601192725,0.0266390628743,0.970588235294,0.951241089085,0.982400620619,0.960084033613,0.938501979352,0.974299513617,0.0159952606635,0.00947867298578,0.0225118483412,-0.0105042016807,-0.0210084033613,-0.00210084033613
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_direct_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,4,1688,0.00236966824645,0.000921891687168,0.00607726225776,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,-0.000592417061611,-0.00177725118483,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_direct_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,4,1688,0.00236966824645,0.000921891687168,0.00607726225776,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,-0.000592417061611,-0.00177725118483,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_direct_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,60,1688,0.0355450236967,0.027714159278,0.0454850510706,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.0325829383886,0.0242890995261,0.0414691943128,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_direct_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,24,1688,0.0142180094787,0.00957290919012,0.0210691220418,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.0112559241706,0.00592417061611,0.0165876777251,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,66,1688,0.0390995260664,0.030850740728,0.0494413328067,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.0361374407583,0.0272511848341,0.0456161137441,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,30,1688,0.0177725118483,0.0124771751764,0.0252577192417,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.0148104265403,0.00888625592417,0.0207345971564,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0,-0.00236966824645,0.00236966824645,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,-0.00236966824645,-0.00473933649289,-0.000592417061611,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,12,1688,0.00710900473934,0.00407131536262,0.0123849894971,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.00414691943128,0.00118483412322,0.00770142180095,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,14,1688,0.00829383886256,0.0049468781778,0.0138737144106,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.0053317535545,0.00118483412322,0.0100710900474,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0,1688,0,0,0.00227057848752,0.970588235294,0.951241089085,0.982400620619,0.567226890756,0.522354404434,0.611022982667,-0.00296208530806,-0.00592417061611,-0.000592417061611,-0.403361344538,-0.445430672269,-0.361344537815
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,47,1688,0.0278436018957,0.0210030149428,0.0368283251692,0.970588235294,0.951241089085,0.982400620619,0.926470588235,0.899454989703,0.946657809716,0.0248815165877,0.0177725118483,0.0325829383886,-0.0441176470588,-0.063025210084,-0.0273109243697
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,21,1688,0.0124407582938,0.00815133467493,0.018944264964,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.00947867298578,0.00414691943128,0.0148104265403,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.970588235294,0.951241089085,0.982400620619,0.806722689076,0.768851273729,0.839683054917,-0.00236966824645,-0.00473933649289,-0.000592417061611,-0.163865546218,-0.195430672269,-0.132352941176
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,30,1688,0.0177725118483,0.0124771751764,0.0252577192417,0.970588235294,0.951241089085,0.982400620619,0.966386554622,0.946100044078,0.979205578932,0.0148104265403,0.00888625592417,0.021327014218,-0.00420168067227,-0.0105042016807,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,17,1688,0.0100710900474,0.0062973698931,0.0160696542884,0.970588235294,0.951241089085,0.982400620619,0.970588235294,0.951241089085,0.982400620619,0.00710900473934,0.00355450236967,0.0112559241706,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,1,1688,0.000592417061611,0.000104583813744,0.00334813853813,0.970588235294,0.951241089085,0.982400620619,0.957983193277,0.935995073281,0.972638376342,-0.00236966824645,-0.00473933649289,-0.000592417061611,-0.0126050420168,-0.0231092436975,-0.00420168067227
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,13,1688,0.00770142180095,0.00450627955472,0.0131321691694,0.970588235294,0.951241089085,0.982400620619,0.97268907563,0.953838641232,0.983971111818,0.00473933649289,0.00118483412322,0.00888625592417,0.00210084033613,0,0.0063025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,7,1688,0.00414691943128,0.00201020946447,0.00853537607351,0.970588235294,0.951241089085,0.982400620619,0.928571428571,0.9018431894,0.948437653366,0.00118483412322,-0.00236966824645,0.00473933649289,-0.0420168067227,-0.0609243697479,-0.0252100840336
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,0.970588235294,0.951241089085,0.982400620619,0.548319327731,0.503402967075,0.592462029903,0,-0.00355450236967,0.00355450236967,-0.422268907563,-0.468487394958,-0.38025210084
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,5,1688,0.00296208530806,0.00126586908499,0.00691542872429,12,1688,0.00710900473934,0.00407131536262,0.0123849894971,0.970588235294,0.951241089085,0.982400620619,0.655462184874,0.611679567275,0.696755640395,0.00414691943128,-0.000592417061611,0.00888625592417,-0.31512605042,-0.355094537815,-0.273109243697
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_128,pca_direct_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,124,1688,0.0734597156398,0.0619589972028,0.0868974204643,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.010663507109,-0.0171800947867,-0.00414691943128,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_128,pca_direct_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,126,1688,0.074644549763,0.0630497852349,0.0881709201609,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.00947867298578,-0.0159952606635,-0.00353969194313,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_128,pca_reconstruction_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_256,pca_direct_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,124,1688,0.0734597156398,0.0619589972028,0.0868974204643,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.010663507109,-0.0171800947867,-0.00414691943128,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_256,pca_direct_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,126,1688,0.074644549763,0.0630497852349,0.0881709201609,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.00947867298578,-0.0159952606635,-0.00353969194313,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_256,pca_reconstruction_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_32,pca_direct_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,1518,1688,0.899289099526,0.884013620277,0.912751344296,0.97268907563,0.953838641232,0.983971111818,0.970588235294,0.951241089085,0.982400620619,0.815165876777,0.796208530806,0.833530805687,-0.00210084033613,-0.0063025210084,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_32,pca_direct_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,360,1688,0.21327014218,0.194391845032,0.233450524622,0.97268907563,0.953838641232,0.983971111818,0.968487394958,0.948662112158,0.980811554199,0.129146919431,0.109004739336,0.151658767773,-0.00420168067227,-0.0105042016807,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_32,pca_reconstruction_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,1563,1688,0.925947867299,0.912465714563,0.937495723905,0.97268907563,0.953838641232,0.983971111818,0.970588235294,0.951241089085,0.982400620619,0.84182464455,0.82345971564,0.858427132701,-0.00210084033613,-0.0063025210084,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,115,1688,0.0681279620853,0.0570622859372,0.0811548369507,0.97268907563,0.953838641232,0.983971111818,0.964285714286,0.94355345962,0.977584120043,-0.0159952606635,-0.031990521327,0.000592417061611,-0.00840336134454,-0.0168067226891,-0.00210084033613
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_direct_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,124,1688,0.0734597156398,0.0619589972028,0.0868974204643,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.010663507109,-0.0171800947867,-0.00414691943128,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_direct_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,126,1688,0.074644549763,0.0630497852349,0.0881709201609,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.00947867298578,-0.0159952606635,-0.00353969194313,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_reconstruction_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0,0,0,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_direct_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,547,1688,0.324052132701,0.302146649118,0.346756623169,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0.239928909953,0.217417061611,0.263033175355,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_direct_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,24,1688,0.0142180094787,0.00957290919012,0.0210691220418,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.0699052132701,-0.0835308056872,-0.0568720379147,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_reconstruction_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,615,1688,0.364336492891,0.34171091797,0.387578137094,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0.280213270142,0.257109004739,0.303332345972,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,30,1688,0.0177725118483,0.0124771751764,0.0252577192417,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.0663507109005,-0.0793838862559,-0.0539099526066,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_adc_exhaustive,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,119,1688,0.0704976303318,0.0592361473886,0.0837095509568,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.0136255924171,-0.0219194312796,-0.0053317535545,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,61,1688,0.0361374407583,0.0282353981755,0.0461459560375,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,-0.0479857819905,-0.0580568720379,-0.0385071090047,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,244,1688,0.144549763033,0.128581261711,0.162132419678,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0.0604265402844,0.0479857819905,0.0728672985782,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,398,1688,0.235781990521,0.216145989189,0.25661784731,0.97268907563,0.953838641232,0.983971111818,0.970588235294,0.951241089085,0.982400620619,0.151658767773,0.131501777251,0.171223341232,-0.00210084033613,-0.0063025210084,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,3,1688,0.00177725118483,0.000604605803334,0.00521240427724,0.97268907563,0.953838641232,0.983971111818,0.861344537815,0.827395518736,0.88950793693,-0.082345971564,-0.095971563981,-0.0693127962085,-0.111344537815,-0.140756302521,-0.0861344537815
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,199,1688,0.117890995261,0.103367815877,0.134149391617,0.97268907563,0.953838641232,0.983971111818,0.943277310924,0.918730015078,0.960727131116,0.0337677725118,0.0159952606635,0.0521327014218,-0.0294117647059,-0.0441176470588,-0.0168067226891
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,240,1688,0.142180094787,0.12633149053,0.159653615402,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0.0580568720379,0.042654028436,0.0728672985782,0,0,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,4,1688,0.00236966824645,0.000921891687168,0.00607726225776,0.97268907563,0.953838641232,0.983971111818,0.964285714286,0.94355345962,0.977584120043,-0.0817535545024,-0.0953791469194,-0.0687203791469,-0.00840336134454,-0.0168067226891,-0.00210084033613
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,30,1688,0.0177725118483,0.0124771751764,0.0252577192417,0.97268907563,0.953838641232,0.983971111818,0.966386554622,0.946100044078,0.979205578932,-0.0663507109005,-0.0793838862559,-0.0539099526066,-0.0063025210084,-0.0147058823529,0
lfw,edgeface-a348c305af33c223b337,20260812-R001-1f1ae4fc,pq,pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,0.1,142,1688,0.0841232227488,0.0718073450263,0.0983276621991,207,1688,0.122630331754,0.107833726828,0.13914063158,0.97268907563,0.953838641232,0.983971111818,0.97268907563,0.953838641232,0.983971111818,0.0385071090047,0.0248815165877,0.0515402843602,0,0,0
